nvbn thefuck
hakimel reveal.js
pallets flask
django django
socketio socket.io
AykutSarac jsoncrack.com
EddieHubCommunity LinkFree
sindresorhus awesome
microsoft Web-Dev-For-Beginners
book-searcher-org book-searcher
AUTOMATIC1111 stable-diffusion-webui
android nowinandroid
microsoft PowerToys
StarRocks starrocks
Z4nzu hackingtool
LAION-AI Open-Assistant
jerryjliu gpt_index
pola-rs polars
airbnb javascript
freeCodeCamp freeCodeCamp
lencx ChatGPT
CodeEditApp CodeEdit
SunWeb3Sec DeFiHackLabs
go-sonic sonic
bigscience-workshop petals
aurae-runtime aurae
MuhammedKalkan OpenLens
fuergaosi233 wechat-chatgpt
transitive-bullshit chatgpt-api
acheong08 ChatGPT
sundowndev phoneinfoga
hwchase17 langchain
pocketbase pocketbase
supabase supabase
m1guelpf chatgpt-telegram
MarlinFirmware Marlin
Aircoookie WLED
charliermarsh ruff
invoke-ai InvokeAI
pulumi pulumi
tensorflow tensorflow
opencv opencv
jenkinsci jenkins
vuejs vue
vercel next.js
facebook react
twbs bootstrap
ohmyzsh ohmyzsh
d3 d3
electron electron
python cpython
python mypy
facebook create-react-app
axios axios
ytdl-org youtube-dl
denoland deno
puppeteer puppeteer
microsoft TypeScript
laravel laravel
mui material-ui
moby moby
webpack webpack
reduxjs redux
jquery jquery
hashicorp terraform
hashicorp consul
hashicorp vault
hashicorp nomad
